rx, ry, theta,c11, c12, c13, c14, c22, c23, c24, c33, c34, c44
0.264161,0.21765,0.145333,0.833389,0.00672088,0.00672088,0.276023,0.203792,0.203792,0.00758068,0.203792,0.00758068,0.745828
0.206022,0.0847157,1.30469,0.97957,0.0304584,0.0304584,0.418077,0.313644,0.313644,0.0323601,0.313644,0.0323601,1.16328
0.147883,0.401781,0.894052,0.708577,-0.128741,-0.128741,0.209389,0.206341,0.206341,-0.124945,0.206341,-0.124945,0.602784
0.0897439,0.268847,0.483412,0.86434,-0.0764418,-0.0764418,0.346957,0.287495,0.287495,-0.081886,0.287495,-0.081886,1.04908
0.031605,0.135913,0.0727715,1.15876,-0.00448564,-0.00448564,0.501162,0.358497,0.358497,-0.00505563,0.358497,-0.00505563,1.29182
0.423466,0.00297852,1.23213,1.33417,-3.78675e-05,-3.78675e-05,0.570193,0.381174,0.381174,0.000576735,0.381174,0.000576735,1.3353
0.365327,0.320044,0.821491,0.487924,0.0216878,0.0216878,0.127055,0.086303,0.086303,0.0213986,0.086303,0.0213986,0.493229
0.307188,0.18711,0.41085,0.848248,0.0521736,0.0521736,0.258507,0.201614,0.201614,0.0510739,0.201614,0.0510739,0.683369
0.249049,0.0541756,0.000209595,1.20532,6.14995e-10,6.14995e-10,0.378582,0.306848,0.306848,3.37494e-08,0.306848,3.37494e-08,0.862201
0.19091,0.371241,1.15957,0.774332,-0.0720236,-0.0720236,0.201855,0.167432,0.167432,-0.070645,0.167432,-0.070645,0.543179
0.132771,0.238307,0.748929,0.944679,-0.0601487,-0.0601487,0.359563,0.276418,0.276418,-0.0603195,0.276418,-0.0603195,0.959064
0.0746322,0.105373,0.338288,1.21133,-0.00724866,-0.00724866,0.514778,0.355259,0.355259,-0.00677678,0.355259,-0.00677678,1.24794
0.0164933,0.422438,1.49765,1.16194,-0.0339434,-0.0339434,0.217639,0.243202,0.243202,-0.024916,0.243202,-0.024916,0.50149
0.408354,0.289504,1.08701,0.402077,0.0439508,0.0439508,0.119941,0.0845699,0.0845699,0.0395322,0.0845699,0.0395322,0.539464
0.350215,0.15657,0.676367,0.772159,0.104113,0.104113,0.240957,0.213167,0.213167,0.103004,0.213167,0.103004,0.684081
0.292076,0.0236356,0.265726,1.17349,0.0713939,0.0713939,0.3305,0.306975,0.306975,0.0583428,0.306975,0.0583428,0.783667
0.233937,0.340701,1.42509,0.74454,-0.0165128,-0.0165128,0.196412,0.14478,0.14478,-0.016952,0.14478,-0.016952,0.550052
0.175798,0.207767,1.01445,0.957091,-0.0173875,-0.0173875,0.360497,0.263985,0.263985,-0.0167756,0.263985,-0.0167756,0.929154
0.117659,0.0748327,0.603805,1.22605,0.017095,0.017095,0.506912,0.353079,0.353079,0.0171255,0.353079,0.0171255,1.20507
0.0595205,0.391898,0.193164,0.487281,-0.0692394,-0.0692394,0.209333,0.228374,0.228374,-0.0826749,0.228374,-0.0826749,1.06287
0.00138157,0.258964,1.35252,1.34198,-5.66655e-05,-5.66655e-05,0.574401,0.383343,0.383343,6.32742e-06,0.383343,6.32742e-06,1.34181
0.393243,0.12603,0.941884,0.612338,0.130509,0.130509,0.219648,0.222926,0.222926,0.135401,0.222926,0.135401,0.776088
0.335104,0.443096,0.531243,0.306141,-0.0345276,-0.0345276,0.0798295,0.0495275,0.0495275,-0.0282636,0.0495275,-0.0282636,0.418313
